,CD4.prot,CD8A.prot
753657,3171,189
535170,461,25
73961,946,114
626097,3077,81
743913,4355,55
40848,5216,68
28352,125,58
624932,3991,41
228343,863,48
712078,3470,109
805229,5932,78
1168,3526,47
382219,4220,57
235654,2882,17
715416,699,31
191573,52,107
773467,1320,110
692627,2440,218
377894,4266,50
652023,1040,14
169691,3849,113
190241,3161,56
30136,3868,191
542746,1438,69
3153,40,91
43456,1759,59
151191,2530,77
421062,2433,30
433203,4358,35
448072,3210,44
750433,1506,34
785807,4607,39
280416,19,5520
543115,2706,91
40513,3094,41
205200,1450,182
342483,2396,52
113429,2847,39
550410,2030,57
367158,5507,43
21643,1203,394
59466,2852,90
308054,2731,22
576739,2758,32
297576,5100,103
103553,909,47
672308,3700,50
102334,4480,87
62117,2242,32
62652,4142,91
647368,2329,30
847287,2152,28
701958,40,4369
130729,3566,49
868037,4403,61
41052,1247,16
134070,2079,113
618666,3880,34
321663,740,219
843640,1134,70
858366,2033,66
66129,3282,88
165504,3358,114
572271,1312,38
90783,1275,123
490706,872,35
865937,4728,41
229058,1441,387
6873,46,73
237787,783,435
130477,3156,25
727941,4791,1197
98154,4273,126
139615,3435,64
847045,1679,71
462971,2626,59
133142,385,124
362927,1321,66
504749,3279,47
831723,1851,194
283420,2326,10
539808,2169,48
635906,4677,28
767470,2366,48
552299,2540,57
771215,2253,57
755327,3494,46
283016,326,132
754965,1457,13
630274,3512,22
650973,3657,109
169940,2491,51
598399,1517,21
522147,1819,48
305474,23,32
877838,3154,41
111492,3074,45
847435,2557,81
315806,3179,218
843975,4406,50
405500,2785,81
741382,2575,38
518524,4600,50
47302,921,27
147978,2631,40
331255,3706,117
230066,3209,82
466567,2315,58
743586,5470,265
819262,3972,47
589837,47,158
797780,37,6765
211158,2276,64
688694,1976,95
150609,31,99
552980,2452,101
123543,1490,259
158582,4088,69
99444,3860,106
35687,7,13
744165,1192,49
212285,3585,46
848770,4216,31
591568,1889,239
7552,2568,51
645656,1020,107
297451,1708,37
564117,4057,63
842401,3204,18
299170,62,51
463241,72,44
73479,29,39
211245,3785,24
486027,20,933
764218,2880,62
96945,3679,51
189430,110,149
335895,1372,28
463578,1417,231
722156,3495,61
1715,552,54
645934,2686,36
27333,800,489
166957,3415,136
481308,2226,68
837343,1965,46
266454,322,60
274232,516,818
658724,2791,52
318294,846,76
515670,611,33
35445,2871,37
105357,2398,122
331151,831,13
110563,6270,69
235195,2021,51
221022,619,32
511791,3474,39
320873,2949,43
329575,4161,129
327663,681,179
133483,3107,47
602314,13,3226
218197,4527,55
277077,2653,44
740475,2185,37
224978,3048,64
243495,108,134
353093,3063,70
338642,3504,16
253438,842,180
264059,3892,64
145537,2672,75
561462,2587,358
213797,660,41
643782,1313,21
726046,3119,60
449519,11,882
345374,3420,144
457993,1824,58
773507,2012,52
248876,2558,48
648985,738,36
186096,1606,32
646246,480,300
815471,683,158
266984,768,20
382950,2957,65
460858,3420,46
55027,2072,800
176639,9,33
658340,1938,52
485330,2619,243
186653,4538,39
67104,2791,24
345578,3753,44
98632,2924,42
489694,3371,45
108402,4343,122
402140,537,20
313796,2639,112
422394,4448,43
97900,5457,76
759360,3171,54
278814,2388,29
652775,2058,40
170446,3051,74
529694,881,49
766249,60,3109
778491,1445,270
162262,3078,131
786751,2208,54
23515,2279,42
325141,4025,41
740694,3716,215
158957,1814,285
136692,3128,56
650465,3773,54
696784,950,34
34927,38,188
858615,1343,31
138888,3591,53
511237,1956,13
48165,2992,52
319873,2727,86
352071,2646,62
421279,3353,68
226502,1793,35
321587,3172,31
319744,3760,59
705602,1787,99
844453,37,4743
701298,611,127
158513,2091,396
188382,4145,96
662297,635,448
177958,2975,53
629754,3053,81
217240,1086,30
14902,401,19
813464,3946,31
422850,3190,52
841500,1804,22
250001,1635,31
408260,1963,13
748689,1595,401
84856,375,74
181071,3810,24
854027,61,149
323613,905,263
738469,1837,44
236526,1726,87
776462,2409,164
25244,1931,47
296083,2211,36
458720,32,83
859127,3932,97
821558,2017,47
98246,2530,99
465754,2832,18
499031,420,32
28777,474,45
352430,562,392
550629,2691,68
798245,2621,66
256710,1181,131
536698,5299,345
404013,4524,52
491695,1243,71
631645,3174,56
126789,3120,37
818943,3195,38
195425,4717,74
494848,20,6059
836170,1903,32
65360,3530,50
432672,210,66
381554,2812,32
382782,5551,49
861260,1148,22
397211,2972,50
827056,1803,62
82214,2122,103
137218,1173,328
309011,3455,85
402690,872,99
17019,1115,46
680060,3317,31
694596,2145,123
38155,3029,31
380281,2144,41
794567,529,57
688465,1019,423
875040,4962,45
143172,3014,41
518902,2950,91
601185,2280,62
625099,59,2946
400149,3430,197
199252,1622,26
297084,770,59
290761,2768,35
288068,767,299
773045,2893,28
97198,3502,49
188900,784,202
134248,3,16
302942,2525,116
840196,1930,66
538984,1039,114
861337,14,3753
393162,31,4159
624996,494,793
725175,2158,33
247285,2956,65
527116,1473,233
659128,4399,22
696788,1110,39
526946,724,58
