,CD4.prot,CD8A.prot
529249,0.9838592,0.18661527
432799,1.0886422,0.13785185
445457,1.1177875,0.12629116
6134,1.0052779,0.17569125
72040,0.43931735,0.61048687
744877,0.97524947,0.19118924
62634,0.4550592,0.578196
194505,0.8550736,0.26094908
324544,1.1531187,0.11315264
458975,0.9805569,0.1882215
216496,1.0187783,0.17041282
293569,1.0730175,0.14524992
479135,0.8675199,0.2536476
171754,1.2012312,0.096416295
625687,1.075395,0.14432803
858668,1.0365187,0.16106102
653099,0.4342616,0.6124805
488034,1.231063,0.08645259
525089,1.0415618,0.15941672
770218,1.0223148,0.16898207
191519,0.9326467,0.21490535
297025,1.1758082,0.1043759
762968,0.3667301,0.69868857
449267,1.1324639,0.12032585
369110,1.1228387,0.12390061
652760,1.1092291,0.1299898
208490,0.83633584,0.27255926
102022,1.0970662,0.1345272
458916,0.8197266,0.27590448
609834,0.4078814,0.6499262
301817,0.76076555,0.3251887
592,1.1174375,0.12602583
126410,1.1823694,0.10292604
219101,1.1710393,0.10654856
707232,0.9474256,0.20565057
425232,1.1557642,0.11217973
455562,0.6943523,0.3753702
496160,0.96116257,0.19892631
61938,1.160501,0.11073138
172506,1.0340996,0.16239673
725145,1.0681106,0.14777008
279545,0.34617093,0.7193137
18393,1.1418048,0.11650336
556352,0.7349894,0.3445795
852205,1.1063915,0.12996347
200287,1.0652909,0.14877409
570966,1.0368674,0.16158567
648542,1.1726497,0.104879454
595451,1.1014328,0.13225281
45720,0.79632246,0.29680043
128065,1.126424,0.1235448
673223,1.1047109,0.13179153
532869,0.9904274,0.18322
735977,1.1796856,0.101237185
126290,1.0922886,0.13663751
379433,0.44867158,0.5970568
358640,1.1518407,0.11359167
505412,1.2375754,0.084685974
130652,1.0375489,0.15988988
523604,1.1248189,0.12393679
656865,1.1360424,0.119157396
251705,1.1432589,0.11638596
722812,0.9861604,0.18528536
356156,1.0229437,0.1675233
345440,1.2418954,0.08262603
39670,1.0465865,0.15625843
125292,0.78719026,0.3060986
750293,1.1857338,0.10163615
577900,1.0451365,0.15752552
238746,0.8031343,0.2956068
574177,0.8764517,0.24492157
120267,0.9745049,0.19190422
617444,0.37282586,0.667043
845023,1.0235839,0.1672219
133202,1.1018996,0.13340516
346178,0.9322667,0.21571222
649928,0.08347448,1.2429261
238596,1.0500866,0.15378368
586170,1.2196236,0.09079098
93316,1.166861,0.107639916
836374,1.0109924,0.17348129
323446,1.0895464,0.13816646
385496,1.0224295,0.167636
554688,1.2419239,0.08350796
58870,1.1335478,0.11889808
318451,1.1000786,0.13397068
384813,1.111941,0.12849192
619731,0.97596073,0.18680856
257918,1.0990787,0.13268892
281653,0.98006755,0.1887582
66518,1.0657328,0.14478278
500705,1.2295661,0.08683994
7206,1.1735438,0.105794705
450454,0.9159753,0.22373785
381087,1.1238275,0.12426568
581374,1.0821708,0.14083429
468508,1.245979,0.08178555
31532,0.40301523,0.6522448
451351,0.8835326,0.24277158
268955,1.0531375,0.15327485
561214,0.9819269,0.18811354
34188,0.11733915,1.1406716
163320,1.1712208,0.10583777
483566,0.9995945,0.17993379
96276,0.7566243,0.3263426
607183,0.97111744,0.19452357
691081,0.9780612,0.19008806
218204,1.073001,0.14589746
822797,1.0733731,0.14481875
91723,1.2162514,0.09151521
488607,0.44114643,0.6172164
99115,1.1372248,0.11900653
169893,1.2339919,0.08518336
172404,1.177548,0.104621805
380630,1.0832916,0.14115871
235409,1.1656415,0.10680895
216383,1.1363051,0.11635266
548336,1.0767398,0.14230725
609938,1.1488047,0.11497264
235264,1.0737928,0.14403938
433777,1.1424346,0.1164152
613103,1.1056111,0.13135293
472879,1.152401,0.11132451
505731,0.9743713,0.19238357
625620,0.97452575,0.19156155
661751,0.3136499,0.7591651
36445,1.1436822,0.11676889
537382,0.775189,0.31418422
560881,1.015607,0.17154224
555728,0.39561078,0.6658615
457370,1.1887654,0.10025064
100484,1.2188264,0.090992875
617946,1.1442695,0.11645889
682603,0.977854,0.19071373
865009,1.0641878,0.14800467
396665,0.91089714,0.22575638
381577,1.07056,0.14503299
309695,1.1311152,0.12115429
513690,0.7507778,0.3323171
108251,0.9143213,0.22507602
637200,0.49602148,0.55256325
361038,1.2114271,0.09314452
7023,1.1709284,0.106837206
824758,1.0926768,0.1360512
322965,1.1784797,0.10405506
592628,1.1675318,0.10782253
642751,1.1212802,0.12510844
45911,0.42427596,0.6058729
587425,1.139982,0.11731821
510848,0.39673996,0.6504432
363254,0.3649522,0.6508257
712162,1.1631196,0.10875495
793633,0.99787235,0.17990194
475301,1.0520977,0.15457374
845082,0.7830004,0.30858627
523799,1.1352957,0.11963345
676729,0.95458424,0.20322846
771378,1.0291438,0.16446859
596814,1.159266,0.11070059
357027,1.1160831,0.12749065
237709,1.0470779,0.1550617
720577,0.92678237,0.21823321
855063,1.0338787,0.16194803
231147,1.1607488,0.10973477
805,1.2163379,0.09138304
207320,1.070426,0.1461366
863922,0.97102356,0.19223337
610047,1.1253966,0.12314664
229793,1.1022646,0.13230613
626080,0.3948439,0.65813804
533143,1.1552689,0.10894559
260037,1.1360455,0.11723617
272259,0.4386207,0.603821
466043,1.0228004,0.16797954
435831,1.2503902,0.079903096
606122,0.98287416,0.18269068
501355,1.211061,0.09306523
879904,0.41295403,0.6422409
10351,1.0712583,0.14550827
627171,1.0701333,0.14521523
412191,0.9801172,0.18899956
357321,1.2342212,0.08511594
74783,1.156322,0.11193401
810314,1.1808,0.10069382
859314,0.93089545,0.2157528
13202,1.0449173,0.15732369
58888,1.1117752,0.1286443
556715,1.1604543,0.11033608
605714,1.1774114,0.10309701
83410,1.1980841,0.09580754
338296,0.94603574,0.20503138
379475,1.2702808,0.074569225
526976,0.99293983,0.18191811
672429,1.1723013,0.1066376
603940,1.0147215,0.17182367
720260,1.048964,0.15489972
456528,1.0545841,0.15322024
197345,0.97840345,0.18975334
187574,1.1019391,0.1324687
526608,0.9941765,0.18182114
645270,1.0921415,0.13767962
31556,1.1342098,0.12042765
142925,0.44315135,0.6150533
882356,1.1346385,0.11997485
394278,1.1851892,0.10173811
499569,0.9778767,0.18914604
401139,1.1083703,0.13033089
456193,0.4324253,0.61428016
45103,1.1273756,0.12242489
443691,1.1532875,0.111446016
189482,1.029655,0.1646038
611145,1.1220095,0.1239332
742770,1.04333,0.15717778
160003,1.224392,0.089802
402499,0.95418155,0.2026104
190607,0.35989657,0.709977
482807,1.194612,0.097651854
766338,1.2163104,0.091272146
37783,1.0565498,0.15244552
427819,0.99399006,0.18232064
74594,1.1969867,0.097818404
65714,0.7076547,0.36524323
342199,1.1088043,0.12927277
813533,1.1601286,0.11045133
880246,1.096666,0.13545771
163834,1.0827198,0.13969171
620639,0.4383151,0.61999893
312882,1.0129453,0.17301227
215819,1.0535301,0.15338148
456097,1.10696,0.13118884
543350,0.9265647,0.21815981
296578,1.1665552,0.1082673
303866,1.0967573,0.134389
335455,1.0254793,0.16727346
718184,0.06914395,1.2861854
473285,1.0928726,0.1346083
201932,1.0600927,0.15008616
846765,1.1305414,0.12215658
152720,1.0487136,0.15603676
213359,0.6503914,0.0
446606,1.1974137,0.09749144
532743,0.75689524,0.32784566
710065,0.9684554,0.19568796
128491,1.1673759,0.108191326
744841,0.86388427,0.2537049
138763,1.140553,0.11744946
346498,1.1430463,0.11594198
578590,0.8205546,0.2837005
575065,1.1699336,0.10680459
799432,1.1427789,0.111303754
419246,1.0525289,0.15302049
387036,0.9830985,0.18562412
639556,1.1370723,0.118250795
630877,1.1038508,0.13030599
846331,0.74232787,0.3388694
504454,1.2028184,0.09593434
207554,0.19542462,0.96420443
580627,1.163095,0.10925585
231696,1.097549,0.13498682
209526,1.1748291,0.10356015
129698,1.1537527,0.10922646
187275,1.130003,0.12121441
359261,1.2415838,0.08280693
471929,1.2637306,0.07652014
710637,0.99084044,0.18424445
868230,1.1903363,0.09918142
148067,0.95635414,0.20072085
109114,0.95035994,0.20331638
519694,1.1307824,0.12095902
678674,0.7214809,0.35502473
4309,1.1273363,0.12276083
90344,1.116711,0.12692621
583684,0.8620569,0.25664642
354427,0.40392387,0.6361462
360671,1.1612316,0.10991238
722510,0.7846285,0.30646837
344117,1.0656377,0.14745943
566867,0.8377551,0.27214798
244699,0.37573722,0.6778994
462822,1.1198717,0.12458093
189663,1.084022,0.13940938
371556,0.8607746,0.25786635
603771,1.1984181,0.09531036
876214,1.1315539,0.12020177
165919,1.122617,0.12380354
878195,0.6878534,0.38124567
760215,1.0884299,0.13732928
88674,1.1527963,0.113407835
165515,1.0444012,0.15712115
324824,1.0587273,0.14758623
324430,1.1481298,0.113915816
492267,1.1330152,0.119008645
104586,0.38843086,0.67024344
75212,1.0990813,0.13368143
324191,1.0589279,0.15171367
570126,1.0966036,0.13399519
709999,0.97670484,0.19079594
690818,1.169843,0.10625405
585647,1.1436876,0.11665276
855469,0.9459722,0.20676315
71127,0.83751965,0.27231935
659020,1.1145437,0.1282478
258639,1.1895547,0.09998977
568181,1.0487137,0.15331692
45917,1.1690917,0.10651293
251152,0.14826162,1.0629332
61280,1.0419497,0.15948129
468207,0.5769077,0.47710276
227531,0.43671376,0.621775
243871,0.051994517,1.3588122
247858,1.0689236,0.14592071
224756,1.1546941,0.11038466
431911,1.2208779,0.08910136
496602,1.2337619,0.085250884
839931,1.0608964,0.14891173
774645,0.9236729,0.21874039
64262,1.2060429,0.094847016
191128,1.1999438,0.09663768
267743,0.8458327,0.2668875
784745,0.9349432,0.21345893
397488,0.06713295,1.2964106
648195,1.1604255,0.11009421
235425,0.4376425,0.61727226
524549,1.0894542,0.1382611
423563,1.2002983,0.09380699
457268,0.75229394,0.33067304
264328,0.8851786,0.24053082
342387,1.0771625,0.14344297
658277,1.2008497,0.09583707
833819,1.0140496,0.1729548
839636,0.8637642,0.2549889
1354,1.2077547,0.0941776
448794,0.8610521,0.25111398
528525,1.258554,0.07831805
650009,0.11038105,1.1601675
69660,0.86270326,0.2558849
317227,0.41864198,0.62639713
56022,1.0273247,0.16516367
213322,1.333126,0.058229852
726927,1.0173085,0.17021225
399947,0.057584897,1.3310658
577531,1.2062212,0.09423957
595299,0.9388379,0.21109638
525146,1.1161926,0.12703955
117679,0.68703395,0.38216233
270433,1.1232381,0.123903304
331788,0.5015666,0.55188245
632592,1.1514683,0.11313013
190563,0.9125698,0.22480005
272120,1.050046,0.15567487
73549,0.07850749,1.2568034
818821,0.10247307,1.1792686
261925,0.8376675,0.27241653
780820,1.132,0.120291114
173117,0.336513,0.7186205
25238,1.1944982,0.09882858
482495,1.1592274,0.10995338
93458,1.1677693,0.10618432
570469,1.091239,0.1369367
201521,0.9309925,0.2137435
750756,0.9048532,0.23113263
444865,0.47838375,0.5696657
865413,1.1076589,0.13073301
529237,1.0821295,0.14055835
102397,0.42601827,0.6175357
95450,1.1334516,0.12009557
365352,1.1207415,0.1253167
427912,1.0757372,0.14337982
38511,1.1327229,0.120760314
429564,1.2098014,0.09300192
617799,0.92850494,0.21754037
233462,1.1067815,0.13122354
325884,1.2067047,0.09385302
536091,1.1257111,0.12326167
821614,0.3624847,0.70198226
97811,1.0130312,0.17277898
104610,0.99013966,0.18386441
583305,1.2303528,0.0866055
733967,1.0697514,0.14651072
517937,1.1833586,0.10240629
708057,1.1123595,0.12792045
661721,0.29377982,0.799808
803858,1.2170511,0.09090704
640407,1.0599811,0.15106867
129890,0.7530917,0.3312353
466904,1.1412908,0.11757807
440053,1.215754,0.09016724
273249,1.0895747,0.13812469
